,STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,GEOCODE2
0,IL,36,U,F,3,L,E,C
1,CA,14,H,M,3,L,G,A
2,NC,43,U,M,3,L,E,C
3,CA,44,U,F,3,L,E,C
4,FL,16,H,F,3,L,F,A
5,other,40,U,F,3,L,F,C
6,IN,40,H,F,3,L,E,D
7,other,39,U,F,1,L,E,C
8,other,45,U,M,3,L,F,D
9,other,35,U,M,3,L,F,B
10,other,53,U,F,1,L,F,D
11,IN,17,U,M,3,L,F,B
12,other,51,H,F,3,L,D,D
13,other,40,U,M,3,L,G,B
14,other,35,H,M,3,L,F,D
15,CA,2,H,M,1,L,F,A
16,MI,20,U,M,3,L,F,A
17,IL,43,U,F,2,L,G,C
18,FL,16,H,F,3,L,F,B
19,NC,27,U,M,3,L,F,C
20,other,12,H,F,3,L,D,A
21,MI,43,U,M,3,L,G,C
22,FL,40,U,F,3,L,G,C
23,IL,22,U,F,3,L,E,A
24,other,35,H,F,3,L,E,A
25,CA,35,H,M,3,L,F,B
26,IL,13,H,F,2,L,G,A
27,MO,35,H,M,3,L,E,D
28,TX,35,H,F,3,L,E,A
29,IL,40,U,F,3,L,E,A
30,TX,35,U,M,3,L,D,A
31,MO,8,H,M,3,L,F,A
32,NC,25,U,F,3,L,G,B
33,FL,15,U,F,3,L,F,A
34,other,40,U,F,3,L,F,B
35,other,42,U,M,3,L,F,C
36,TX,12,H,M,3,L,G,B
37,CA,11,U,F,3,L,G,A
38,other,17,H,F,2,L,F,A
39,other,36,H,F,3,L,G,D
40,IL,28,U,F,3,L,G,B
41,MI,2,U,F,3,L,E,B
42,WA,14,H,M,3,L,F,A
43,FL,35,H,M,3,L,F,A
44,WI,18,H,F,3,L,F,B
45,other,24,H,F,3,L,D,C
46,other,40,U,F,2,L,E,C
47,IN,34,H,M,2,L,F,C
48,WA,5,U,M,3,L,F,A
49,TX,31,H,M,2,L,F,C
50,IL,44,U,F,2,L,F,B
51,NC,32,H,F,3,L,F,B
52,NC,27,H,F,2,L,D,B
53,FL,18,H,F,3,L,E,A
54,IL,36,H,M,2,L,F,C
55,CA,46,U,F,3,L,G,A
56,CA,3,U,F,2,L,E,A
